Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/safe.php.lock...
SessionPaths, endotropicoxeyes:   	Waiting for exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
SessionPaths, endotropicoxeyes:   	Got exclusive lock of /home/andrei/apache_server/telega/public/my_mad_sessions/+380991106635/lightState.php.lock...
APIWrapper, endotropicoxeyes:     	Saved session!
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop, endotropicoxeyes:       	Ping DC 2.0
PingLoop, endotropicoxeyes:       	Ping DC 2.0
Session, endotropicoxeyes:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, endotropicoxeyes:        	Garbage collected 6 outgoing messages in DC 2, 0 left
